ページ	実際のページ	合意したデザイン	種別	確認内容	判定	補足（NGの時のみ）
アーバンネイチャー北九州 | 都市と自然、近いからこそおもしろい。	http://nature-kitakyushuichiki.local/	../../index.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
お知らせ | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/news/	../../news/index.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
「北九州ネイチャーポジティブネットワーク」で仲間がどんどん増えています！ | お知らせ | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/news/20251224-2/	../../news/20251224-2.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
全体像 | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/about/	../../about/index.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
生物多様性とは？ | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/about-biodiversity/	../../about/biodiversity.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
北九州市の取組 | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/about-strategy/	../../about/strategy.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
活動拠点 | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/center/	../../center/index.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
北九州市響灘ビオトープ | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/center/biotope/	../../center/biotope.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
北九州市の自然スポット | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/about/spots/	../../about/spots.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
合馬竹林公園 | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/about/spots/auma/	../../about/spots/auma.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
地域との繋がり | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/network/	../../network/index.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
企業参加型プロジェクト | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/network-projects/	../../network/projects/index.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
活動紹介 | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/network/cases/	../../network/cases/index.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
九州電力株式会社 北九州支店 | 活動紹介 | アーバンネイチャー北九州	http://nature-kitakyushuichiki.local/network/cases/kyushu-denryoku/	../../network/cases/kyushu-denryoku.html	表示確認	見た目は「合意したデザイン」の通りに見えますか？（崩れ・文字化け・画像抜けがないか）		
